country,admin_level_1,admin_level_2,facility,date,tested_cases,confirmed_cases,total_population,rf,tpr
Sample country,province_1,district_1_01,healthfac_1_01_01,2015-01-01,129,25,129858,170.608155314128,0.1937984496124031
Sample country,province_1,district_1_01,healthfac_1_01_01,2015-02-01,230,143,129858,162.113176981608,0.6217391304347826
Sample country,province_1,district_1_01,healthfac_1_01_01,2015-03-01,240,140,129858,85.992817179362,0.5833333333333334
Sample country,province_1,district_1_01,healthfac_1_01_01,2015-04-01,339,189,129858,77.0651512145996,0.5575221238938053
Sample country,province_1,district_1_01,healthfac_1_01_01,2015-05-01,313,177,129858,88.9801780700684,0.5654952076677316
Sample country,province_1,district_1_01,healthfac_1_01_01,2015-06-01,337,101,129858,139.736542256673,0.2997032640949555
Sample country,province_1,district_1_01,healthfac_1_01_01,2015-07-01,534,64,129858,236.153281656901,0.1198501872659176
Sample country,province_1,district_1_01,healthfac_1_01_01,2015-08-01,377,137,129858,202.887840779622,0.363395225464191
Sample country,province_1,district_1_01,healthfac_1_01_01,2015-09-01,496,192,129858,88.6561073303223,0.3870967741935484
Sample country,province_1,district_1_01,healthfac_1_01_01,2015-10-01,632,188,129858,45.5624340057373,0.2974683544303797
Sample country,province_1,district_1_01,healthfac_1_01_01,2015-11-01,312,179,129858,50.0077570597331,0.5737179487179487
Sample country,province_1,district_1_01,healthfac_1_01_01,2015-12-01,408,59,129858,138.084712727865,0.14460784313725492
Sample country,province_1,district_1_01,healthfac_1_01_01,2016-01-01,584,86,132614,159.792809041341,0.14726027397260275
Sample country,province_1,district_1_01,healthfac_1_01_01,2016-02-01,543,50,132614,168.508407084147,0.09208103130755065
Sample country,province_1,district_1_01,healthfac_1_01_01,2016-03-01,676,186,132614,71.5434354146322,0.27514792899408286
Sample country,province_1,district_1_01,healthfac_1_01_01,2016-04-01,730,237,132614,40.7244397481283,0.32465753424657534
Sample country,province_1,district_1_01,healthfac_1_01_01,2016-05-01,292,236,132614,15.8359178543091,0.8082191780821918
Sample country,province_1,district_1_01,healthfac_1_01_01,2016-06-01,283,92,132614,76.4494862874349,0.3250883392226148
Sample country,province_1,district_1_01,healthfac_1_01_01,2016-07-01,119,74,132614,142.2708887736,0.6218487394957983
Sample country,province_1,district_1_01,healthfac_1_01_01,2016-08-01,304,104,132614,104.485766092936,0.34210526315789475
Sample country,province_1,district_1_01,healthfac_1_01_01,2016-09-01,298,158,132614,78.2142557779948,0.5302013422818792
Sample country,province_1,district_1_01,healthfac_1_01_01,2016-10-01,394,214,132614,50.3483848571777,0.5431472081218274
Sample country,province_1,district_1_01,healthfac_1_01_01,2016-11-01,625,198,132614,57.7321416219076,0.3168
Sample country,province_1,district_1_01,healthfac_1_01_01,2016-12-01,184,58,132614,135.235711669922,0.31521739130434784
Sample country,province_1,district_1_01,healthfac_1_01_01,2017-01-01,36,29,135429,157.25049794515,0.8055555555555556
Sample country,province_1,district_1_01,healthfac_1_01_01,2017-02-01,266,107,135429,172.575080362956,0.40225563909774437
Sample country,province_1,district_1_01,healthfac_1_01_01,2017-03-01,511,145,135429,100.085039265951,0.2837573385518591
